date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:11	28656/28656	---M--	200	added ('OK')	font/woff	date:Thu,%2020%20Jul%202023%2022:48:00%20GMT	https://www.android.com/static/_fonts/roboto-v20-latin_cyrillic-300.woff	Android/Android/www.android.com/static/_fonts/roboto-v20-latin_cyrillic-300.woff	(from https://www.android.com/)
17:46:12	794208/794208	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/nl_be/	Android/Android/www.android.com/intl/nl_be/index.html	(from https://www.android.com/)
17:46:12	940025/940025	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/ko_kr/	Android/Android/www.android.com/intl/ko_kr/index.html	(from https://www.android.com/)
17:46:17	22428/22428	---M--	200	added ('OK')	font/woff2	date:Thu,%2020%20Jul%202023%2022:48:00%20GMT	https://www.android.com/static/_fonts/roboto-v20-latin_cyrillic-regular.woff2	Android/Android/www.android.com/static/_fonts/roboto-v20-latin_cyrillic-regular.woff2	(from https://www.android.com/)
17:46:17	794208/794208	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/nl_nl/	Android/Android/www.android.com/intl/nl_nl/index.html	(from https://www.android.com/)
17:46:18	793715/793715	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/no_no/	Android/Android/www.android.com/intl/no_no/index.html	(from https://www.android.com/)
17:46:19	28684/28684	---M--	200	added ('OK')	font/woff	date:Thu,%2027%20Apr%202023%2015:48:00%20GMT	https://www.android.com/static/_fonts/roboto-v20-latin_cyrillic-regular.woff	Android/Android/www.android.com/static/_fonts/roboto-v20-latin_cyrillic-regular.woff	(from https://www.android.com/)
17:46:19	795148/795148	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/pl_pl/	Android/Android/www.android.com/intl/pl_pl/index.html	(from https://www.android.com/)
17:46:22	22880/22880	---M--	200	added ('OK')	font/woff2	date:Thu,%2027%20Apr%202023%2015:48:00%20GMT	https://www.android.com/static/_fonts/roboto-v20-latin_cyrillic-500.woff2	Android/Android/www.android.com/static/_fonts/roboto-v20-latin_cyrillic-500.woff2	(from https://www.android.com/)
17:46:22	883354/883354	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/pt_br/	Android/Android/www.android.com/intl/pt_br/index.html	(from https://www.android.com/)
17:46:23	794871/794871	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20May%202024%2011:18:00%20GMT	https://www.android.com/intl/pt_pt/	Android/Android/www.android.com/intl/pt_pt/index.html	(from https://www.android.com/)
